	ATCC_53608	ATG-F4	Byun-re-01	DSM_20016	I49	I5007	IFO_3956	IRT	JCM_1112	LL7	reuteri	SD2112	SKKU-OGDONS-01	TD1	WHH1689	YSJL-12	ZLR003
ATCC_53608	1	0.95831	0.954225815	0.957801162	0.956917539	0.99346815	0.724173295	0.958193816	0.958292146	0.954120495	0.95785496	0.954257358	0.954222969	0.956710908	0.958216052	0.993420371	0.995441682
ATG-F4	0.95779907	1	0.962437025	0.999800585	0.964317587	0.964769738	0.724122768	0.999570112	0.999947161	0.964633546	0.998446757	0.954905202	0.962487631	0.965181198	0.953089692	0.964395935	0.958062031
Byun-re-01	0.952314963	0.959840484	1	0.960025086	0.961090596	0.954377527	0.722350841	0.959882187	0.959810642	0.961487698	0.959786784	0.954285044	0.999665302	0.966088643	0.94587741	0.953509434	0.953157285
DSM_20016	0.957882443	0.999984497	0.962810534	1	0.964909304	0.964822472	0.722590566	0.999567161	0.999945528	0.964558881	0.998450087	0.955155307	0.962910515	0.96527188	0.953621327	0.964072435	0.95856646
I49	0.956234185	0.965804072	0.964414544	0.966113764	1	0.957969006	0.724242116	0.96599818	0.965793221	0.967286239	0.965962892	0.959488427	0.964468882	0.968867291	0.952531713	0.959204241	0.955910277
I5007	0.991985429	0.96298571	0.954430911	0.962643388	0.958354594	1	0.728339213	0.963341886	0.962965697	0.952932652	0.963324303	0.953838737	0.954494087	0.955887581	0.95798251	0.991200286	0.993136988
IFO_3956	0.722119106	0.721540291	0.720050939	0.721359343	0.721111189	0.728215299	1	0.721542807	0.721491871	0.721143262	0.726649509	0.721718358	0.719973673	0.720331844	0.736780503	0.730081513	0.726548292
IRT	0.957329389	0.999990461	0.962014764	0.999821929	0.965095428	0.964689458	0.725046548	1	0.999948795	0.964950851	0.998625037	0.954932283	0.962001312	0.964899987	0.953164646	0.96404401	0.958004762
JCM_1112	0.958411307	0.999962791	0.962428489	0.999813777	0.965008473	0.964720679	0.724625586	0.999616589	1	0.964586416	0.998488502	0.955314858	0.962382979	0.965126035	0.95347103	0.964916284	0.958886368
LL7	0.952581637	0.964129137	0.962346192	0.964202172	0.966595206	0.953959828	0.724067579	0.964793595	0.96412028	1	0.9646623	0.956351988	0.962115723	0.971393315	0.948718654	0.954283115	0.952244711
reuteri	0.95707973	0.998511299	0.961990389	0.998471415	0.964582916	0.964556523	0.72762451	0.998518168	0.998492032	0.964429309	1	0.955570273	0.961908423	0.965068133	0.954172223	0.96402314	0.958330437
SD2112	0.953388219	0.954354471	0.954256161	0.954285728	0.955989177	0.953298253	0.726735167	0.954391433	0.954349734	0.955601614	0.954078435	1	0.954153685	0.957536107	0.940858279	0.953116752	0.955301487
SKKU-OGDONS-01	0.952170766	0.959485285	0.999565325	0.959446642	0.961057925	0.953892968	0.722683264	0.959469047	0.959464163	0.960751286	0.959052392	0.954428817	1	0.965547641	0.945874112	0.953632758	0.953428683
TD1	0.955713258	0.965236464	0.964850541	0.965509002	0.968457881	0.957489158	0.721203611	0.96521856	0.965221058	0.971118507	0.965306943	0.960308138	0.964710823	1	0.949671197	0.957853893	0.954679485
WHH1689	0.959989431	0.953647639	0.943515858	0.953642784	0.947722009	0.960965617	0.739949441	0.953839717	0.953631346	0.944000255	0.954251674	0.945674712	0.943479508	0.946582204	1	0.960538327	0.960134372
YSJL-12	0.992472546	0.964578477	0.955207629	0.964250019	0.958277013	0.991224703	0.728701735	0.964612131	0.964563244	0.954279096	0.96412758	0.952675597	0.95529496	0.956781114	0.957831745	1	0.991367153
ZLR003	0.994077595	0.95788491	0.952316842	0.957947826	0.954924638	0.992709934	0.725707423	0.957895587	0.957868886	0.951463678	0.957502206	0.953777319	0.952347041	0.953566444	0.957225868	0.99041625	1
